GENEID,TXNAME
K562_RS08955,K562_RS08955
K562_RS08960,K562_RS08960
K562_RS08965,K562_RS08965
K562_RS08970,K562_RS08970
K562_RS08975,K562_RS08975
K562_RS08980,K562_RS08980
K562_RS08985,K562_RS08985
K562_RS35410,K562_RS35410
K562_RS08990,K562_RS08990
K562_RS08995,K562_RS08995
K562_RS09000,K562_RS09000
K562_RS09005,K562_RS09005
K562_RS09010,K562_RS09010
K562_RS09015,K562_RS09015
K562_RS09020,K562_RS09020
K562_RS09025,K562_RS09025
K562_RS09030,K562_RS09030
K562_RS09035,K562_RS09035
K562_RS09040,K562_RS09040
K562_RS09045,K562_RS09045
K562_RS09050,K562_RS09050
K562_RS09055,K562_RS09055
K562_RS09060,K562_RS09060
K562_RS09065,K562_RS09065
K562_RS09070,K562_RS09070
K562_RS09075,K562_RS09075
K562_RS09080,K562_RS09080
K562_RS09085,K562_RS09085
K562_RS09090,K562_RS09090
K562_RS09095,K562_RS09095
K562_RS09100,K562_RS09100
K562_RS09105,K562_RS09105
K562_RS09110,K562_RS09110
K562_RS09115,K562_RS09115
K562_RS09120,K562_RS09120
K562_RS09125,K562_RS09125
K562_RS09130,K562_RS09130
K562_RS09135,K562_RS09135
K562_RS09140,K562_RS09140
K562_RS09145,K562_RS09145
K562_RS09150,K562_RS09150
K562_RS09155,K562_RS09155
K562_RS09160,K562_RS09160
K562_RS09165,K562_RS09165
K562_RS09170,K562_RS09170
K562_RS09180,K562_RS09180
K562_RS09185,K562_RS09185
K562_RS09190,K562_RS09190
K562_RS09195,K562_RS09195
K562_RS09200,K562_RS09200
K562_RS09205,K562_RS09205
K562_RS09210,K562_RS09210
K562_RS09215,K562_RS09215
K562_RS09220,K562_RS09220
K562_RS09225,K562_RS09225
K562_RS09230,K562_RS09230
K562_RS09235,K562_RS09235
K562_RS09240,K562_RS09240
K562_RS09245,K562_RS09245
K562_RS09250,K562_RS09250
K562_RS09255,K562_RS09255
K562_RS09260,K562_RS09260
K562_RS09265,K562_RS09265
K562_RS09270,K562_RS09270
K562_RS09275,K562_RS09275
K562_RS09280,K562_RS09280
K562_RS09285,K562_RS09285
K562_RS09290,K562_RS09290
K562_RS09295,K562_RS09295
K562_RS09300,K562_RS09300
K562_RS09305,K562_RS09305
K562_RS09310,K562_RS09310
K562_RS09315,K562_RS09315
K562_RS09320,K562_RS09320
K562_RS09325,K562_RS09325
K562_RS09330,K562_RS09330
K562_RS09335,K562_RS09335
K562_RS09340,K562_RS09340
K562_RS09345,K562_RS09345
K562_RS09350,K562_RS09350
K562_RS09355,K562_RS09355
K562_RS09360,K562_RS09360
K562_RS09365,K562_RS09365
K562_RS09370,K562_RS09370
K562_RS09375,K562_RS09375
K562_RS09380,K562_RS09380
K562_RS09385,K562_RS09385
K562_RS09390,K562_RS09390
K562_RS09395,K562_RS09395
K562_RS09400,K562_RS09400
K562_RS09405,K562_RS09405
K562_RS09410,K562_RS09410
K562_RS09415,K562_RS09415
K562_RS09420,K562_RS09420
K562_RS09425,K562_RS09425
K562_RS09430,K562_RS09430
K562_RS09435,K562_RS09435
K562_RS09440,K562_RS09440
K562_RS09445,K562_RS09445
K562_RS09450,K562_RS09450
K562_RS09455,K562_RS09455
K562_RS09460,K562_RS09460
K562_RS09465,K562_RS09465
K562_RS09470,K562_RS09470
K562_RS09475,K562_RS09475
K562_RS09480,K562_RS09480
K562_RS09485,K562_RS09485
K562_RS09490,K562_RS09490
K562_RS09495,K562_RS09495
K562_RS09500,K562_RS09500
K562_RS09505,K562_RS09505
K562_RS09510,K562_RS09510
K562_RS09515,K562_RS09515
K562_RS09520,K562_RS09520
K562_RS09525,K562_RS09525
K562_RS09530,K562_RS09530
K562_RS09535,K562_RS09535
K562_RS09540,K562_RS09540
K562_RS09545,K562_RS09545
K562_RS09550,K562_RS09550
K562_RS09555,K562_RS09555
K562_RS09560,K562_RS09560
K562_RS09565,K562_RS09565
K562_RS09570,K562_RS09570
K562_RS09575,K562_RS09575
K562_RS09580,K562_RS09580
K562_RS09585,K562_RS09585
K562_RS09590,K562_RS09590
K562_RS09595,K562_RS09595
K562_RS09600,K562_RS09600
K562_RS09605,K562_RS09605
K562_RS09610,K562_RS09610
K562_RS09615,K562_RS09615
K562_RS09620,K562_RS09620
K562_RS09625,K562_RS09625
K562_RS09630,K562_RS09630
K562_RS09635,K562_RS09635
K562_RS09640,K562_RS09640
K562_RS09645,K562_RS09645
K562_RS09650,K562_RS09650
K562_RS09655,K562_RS09655
K562_RS09660,K562_RS09660
K562_RS09665,K562_RS09665
K562_RS09670,K562_RS09670
K562_RS09675,K562_RS09675
K562_RS09680,K562_RS09680
K562_RS09685,K562_RS09685
K562_RS09690,K562_RS09690
K562_RS09695,K562_RS09695
K562_RS09700,K562_RS09700
K562_RS09705,K562_RS09705
K562_RS09710,K562_RS09710
K562_RS09715,K562_RS09715
K562_RS09720,K562_RS09720
K562_RS09725,K562_RS09725
K562_RS09730,K562_RS09730
K562_RS09735,K562_RS09735
K562_RS09740,K562_RS09740
K562_RS09745,K562_RS09745
K562_RS09750,K562_RS09750
K562_RS09755,K562_RS09755
K562_RS09760,K562_RS09760
K562_RS09765,K562_RS09765
K562_RS09770,K562_RS09770
K562_RS09775,K562_RS09775
K562_RS09780,K562_RS09780
K562_RS09785,K562_RS09785
K562_RS09790,K562_RS09790
K562_RS09795,K562_RS09795
K562_RS09800,K562_RS09800
K562_RS09805,K562_RS09805
K562_RS09810,K562_RS09810
K562_RS09815,K562_RS09815
K562_RS09820,K562_RS09820
K562_RS09825,K562_RS09825
K562_RS09830,K562_RS09830
K562_RS09835,K562_RS09835
K562_RS09840,K562_RS09840
K562_RS09845,K562_RS09845
K562_RS09850,K562_RS09850
K562_RS09855,K562_RS09855
K562_RS09860,K562_RS09860
K562_RS09865,K562_RS09865
K562_RS09870,K562_RS09870
K562_RS09875,K562_RS09875
K562_RS09880,K562_RS09880
K562_RS09885,K562_RS09885
K562_RS35415,K562_RS35415
K562_RS09890,K562_RS09890
K562_RS09895,K562_RS09895
K562_RS09900,K562_RS09900
K562_RS09905,K562_RS09905
K562_RS09910,K562_RS09910
K562_RS09915,K562_RS09915
K562_RS09920,K562_RS09920
K562_RS09925,K562_RS09925
K562_RS09930,K562_RS09930
K562_RS09935,K562_RS09935
K562_RS09940,K562_RS09940
K562_RS09945,K562_RS09945
K562_RS09950,K562_RS09950
K562_RS09955,K562_RS09955
K562_RS09960,K562_RS09960
K562_RS09965,K562_RS09965
K562_RS09970,K562_RS09970
K562_RS09975,K562_RS09975
K562_RS09980,K562_RS09980
K562_RS09985,K562_RS09985
K562_RS09990,K562_RS09990
K562_RS09995,K562_RS09995
K562_RS10000,K562_RS10000
K562_RS10005,K562_RS10005
K562_RS10010,K562_RS10010
K562_RS10015,K562_RS10015
K562_RS10020,K562_RS10020
K562_RS10025,K562_RS10025
K562_RS10030,K562_RS10030
K562_RS10035,K562_RS10035
K562_RS10040,K562_RS10040
K562_RS10045,K562_RS10045
K562_RS10050,K562_RS10050
K562_RS10055,K562_RS10055
K562_RS10060,K562_RS10060
K562_RS10065,K562_RS10065
K562_RS10070,K562_RS10070
K562_RS10075,K562_RS10075
K562_RS10080,K562_RS10080
K562_RS10085,K562_RS10085
K562_RS10090,K562_RS10090
K562_RS10095,K562_RS10095
K562_RS10100,K562_RS10100
K562_RS10105,K562_RS10105
K562_RS10110,K562_RS10110
K562_RS10115,K562_RS10115
K562_RS10120,K562_RS10120
K562_RS10125,K562_RS10125
K562_RS10130,K562_RS10130
K562_RS10135,K562_RS10135
K562_RS10140,K562_RS10140
K562_RS10145,K562_RS10145
K562_RS10150,K562_RS10150
K562_RS10155,K562_RS10155
K562_RS10160,K562_RS10160
K562_RS10165,K562_RS10165
K562_RS10170,K562_RS10170
K562_RS10175,K562_RS10175
K562_RS10180,K562_RS10180
K562_RS10185,K562_RS10185
K562_RS10190,K562_RS10190
K562_RS10195,K562_RS10195
K562_RS10200,K562_RS10200
K562_RS10205,K562_RS10205
K562_RS10210,K562_RS10210
K562_RS10215,K562_RS10215
K562_RS10220,K562_RS10220
K562_RS10225,K562_RS10225
K562_RS10230,K562_RS10230
K562_RS10235,K562_RS10235
K562_RS10240,K562_RS10240
K562_RS10245,K562_RS10245
K562_RS10250,K562_RS10250
K562_RS10255,K562_RS10255
K562_RS10260,K562_RS10260
K562_RS10265,K562_RS10265
K562_RS10270,K562_RS10270
K562_RS10275,K562_RS10275
K562_RS10280,K562_RS10280
K562_RS10285,K562_RS10285
K562_RS10290,K562_RS10290
K562_RS10295,K562_RS10295
K562_RS10300,K562_RS10300
K562_RS10305,K562_RS10305
K562_RS10310,K562_RS10310
K562_RS10315,K562_RS10315
K562_RS10320,K562_RS10320
K562_RS10325,K562_RS10325
K562_RS10330,K562_RS10330
K562_RS10335,K562_RS10335
K562_RS10340,K562_RS10340
K562_RS10345,K562_RS10345
K562_RS10350,K562_RS10350
K562_RS10355,K562_RS10355
K562_RS10360,K562_RS10360
K562_RS10365,K562_RS10365
K562_RS10370,K562_RS10370
K562_RS10375,K562_RS10375
K562_RS10380,K562_RS10380
K562_RS10385,K562_RS10385
K562_RS10390,K562_RS10390
K562_RS10395,K562_RS10395
K562_RS10400,K562_RS10400
K562_RS10405,K562_RS10405
K562_RS10410,K562_RS10410
K562_RS10415,K562_RS10415
K562_RS10420,K562_RS10420
K562_RS10425,K562_RS10425
K562_RS10430,K562_RS10430
K562_RS10435,K562_RS10435
K562_RS10440,K562_RS10440
K562_RS10445,K562_RS10445
K562_RS10450,K562_RS10450
K562_RS10455,K562_RS10455
K562_RS10460,K562_RS10460
K562_RS10465,K562_RS10465
K562_RS10470,K562_RS10470
K562_RS10475,K562_RS10475
K562_RS10480,K562_RS10480
K562_RS10485,K562_RS10485
K562_RS10490,K562_RS10490
K562_RS10495,K562_RS10495
K562_RS10500,K562_RS10500
K562_RS10505,K562_RS10505
K562_RS10510,K562_RS10510
K562_RS10515,K562_RS10515
K562_RS10520,K562_RS10520
K562_RS10525,K562_RS10525
K562_RS10530,K562_RS10530
K562_RS10535,K562_RS10535
K562_RS10540,K562_RS10540
K562_RS10545,K562_RS10545
K562_RS10550,K562_RS10550
K562_RS10555,K562_RS10555
K562_RS10560,K562_RS10560
K562_RS10565,K562_RS10565
K562_RS10570,K562_RS10570
K562_RS10575,K562_RS10575
K562_RS10585,K562_RS10585
K562_RS10590,K562_RS10590
K562_RS10595,K562_RS10595
K562_RS10600,K562_RS10600
K562_RS10605,K562_RS10605
K562_RS10610,K562_RS10610
K562_RS10615,K562_RS10615
K562_RS10620,K562_RS10620
K562_RS10625,K562_RS10625
K562_RS10630,K562_RS10630
K562_RS10635,K562_RS10635
K562_RS10645,K562_RS10645
K562_RS10650,K562_RS10650
K562_RS10655,K562_RS10655
K562_RS10660,K562_RS10660
K562_RS10665,K562_RS10665
K562_RS10670,K562_RS10670
K562_RS10675,K562_RS10675
K562_RS10680,K562_RS10680
K562_RS10685,K562_RS10685
K562_RS10690,K562_RS10690
K562_RS10695,K562_RS10695
K562_RS10700,K562_RS10700
K562_RS10705,K562_RS10705
K562_RS10710,K562_RS10710
K562_RS10715,K562_RS10715
K562_RS10720,K562_RS10720
K562_RS10725,K562_RS10725
K562_RS10730,K562_RS10730
K562_RS10735,K562_RS10735
K562_RS10740,K562_RS10740
K562_RS10745,K562_RS10745
K562_RS10750,K562_RS10750
K562_RS10755,K562_RS10755
K562_RS10760,K562_RS10760
K562_RS10765,K562_RS10765
K562_RS10770,K562_RS10770
K562_RS10775,K562_RS10775
K562_RS10780,K562_RS10780
K562_RS10785,K562_RS10785
K562_RS10790,K562_RS10790
K562_RS10795,K562_RS10795
K562_RS10805,K562_RS10805
K562_RS10810,K562_RS10810
K562_RS10815,K562_RS10815
K562_RS10820,K562_RS10820
K562_RS10825,K562_RS10825
K562_RS10830,K562_RS10830
K562_RS10835,K562_RS10835
K562_RS10840,K562_RS10840
K562_RS10845,K562_RS10845
K562_RS10850,K562_RS10850
K562_RS10855,K562_RS10855
K562_RS10860,K562_RS10860
K562_RS10865,K562_RS10865
K562_RS10870,K562_RS10870
K562_RS10875,K562_RS10875
K562_RS10880,K562_RS10880
K562_RS10885,K562_RS10885
K562_RS10890,K562_RS10890
K562_RS10895,K562_RS10895
K562_RS10900,K562_RS10900
K562_RS10905,K562_RS10905
K562_RS10910,K562_RS10910
K562_RS10915,K562_RS10915
K562_RS10920,K562_RS10920
K562_RS10925,K562_RS10925
K562_RS35420,K562_RS35420
K562_RS10930,K562_RS10930
K562_RS10935,K562_RS10935
K562_RS10940,K562_RS10940
K562_RS10945,K562_RS10945
K562_RS10950,K562_RS10950
K562_RS10955,K562_RS10955
K562_RS10960,K562_RS10960
K562_RS10970,K562_RS10970
K562_RS10985,K562_RS10985
K562_RS10990,K562_RS10990
K562_RS10995,K562_RS10995
K562_RS11000,K562_RS11000
K562_RS11005,K562_RS11005
K562_RS11010,K562_RS11010
K562_RS11015,K562_RS11015
K562_RS11020,K562_RS11020
K562_RS11025,K562_RS11025
K562_RS11030,K562_RS11030
K562_RS11035,K562_RS11035
K562_RS11040,K562_RS11040
K562_RS11045,K562_RS11045
K562_RS11050,K562_RS11050
K562_RS11055,K562_RS11055
K562_RS11060,K562_RS11060
K562_RS11065,K562_RS11065
K562_RS11070,K562_RS11070
K562_RS11075,K562_RS11075
K562_RS11080,K562_RS11080
K562_RS11085,K562_RS11085
K562_RS11090,K562_RS11090
K562_RS11095,K562_RS11095
K562_RS11100,K562_RS11100
K562_RS11105,K562_RS11105
K562_RS11110,K562_RS11110
K562_RS11115,K562_RS11115
K562_RS11120,K562_RS11120
K562_RS11125,K562_RS11125
K562_RS11130,K562_RS11130
K562_RS11135,K562_RS11135
K562_RS11140,K562_RS11140
K562_RS11145,K562_RS11145
K562_RS11150,K562_RS11150
K562_RS11155,K562_RS11155
K562_RS11160,K562_RS11160
K562_RS11165,K562_RS11165
K562_RS11170,K562_RS11170
K562_RS11175,K562_RS11175
K562_RS11180,K562_RS11180
K562_RS11185,K562_RS11185
K562_RS11190,K562_RS11190
K562_RS11195,K562_RS11195
K562_RS11200,K562_RS11200
K562_RS11205,K562_RS11205
K562_RS11210,K562_RS11210
K562_RS11215,K562_RS11215
K562_RS11220,K562_RS11220
K562_RS11225,K562_RS11225
K562_RS11230,K562_RS11230
K562_RS11235,K562_RS11235
K562_RS11240,K562_RS11240
K562_RS11245,K562_RS11245
K562_RS11250,K562_RS11250
K562_RS11255,K562_RS11255
K562_RS11260,K562_RS11260
K562_RS11265,K562_RS11265
K562_RS11270,K562_RS11270
K562_RS11275,K562_RS11275
K562_RS11285,K562_RS11285
K562_RS11290,K562_RS11290
K562_RS11295,K562_RS11295
K562_RS11300,K562_RS11300
K562_RS11305,K562_RS11305
K562_RS11310,K562_RS11310
K562_RS11315,K562_RS11315
K562_RS11320,K562_RS11320
K562_RS11325,K562_RS11325
K562_RS11330,K562_RS11330
K562_RS11335,K562_RS11335
K562_RS11340,K562_RS11340
K562_RS11350,K562_RS11350
K562_RS11355,K562_RS11355
K562_RS11360,K562_RS11360
K562_RS11365,K562_RS11365
K562_RS11370,K562_RS11370
K562_RS11375,K562_RS11375
K562_RS11380,K562_RS11380
K562_RS11385,K562_RS11385
K562_RS11390,K562_RS11390
K562_RS11395,K562_RS11395
K562_RS11400,K562_RS11400
K562_RS11405,K562_RS11405
K562_RS11410,K562_RS11410
K562_RS11415,K562_RS11415
K562_RS11420,K562_RS11420
K562_RS11425,K562_RS11425
K562_RS11430,K562_RS11430
K562_RS11435,K562_RS11435
K562_RS11440,K562_RS11440
K562_RS11445,K562_RS11445
K562_RS11450,K562_RS11450
K562_RS11455,K562_RS11455
K562_RS11460,K562_RS11460
K562_RS11465,K562_RS11465
K562_RS11470,K562_RS11470
K562_RS11475,K562_RS11475
K562_RS11480,K562_RS11480
K562_RS11485,K562_RS11485
K562_RS11490,K562_RS11490
K562_RS11495,K562_RS11495
K562_RS11500,K562_RS11500
K562_RS11505,K562_RS11505
K562_RS11510,K562_RS11510
K562_RS11515,K562_RS11515
K562_RS11520,K562_RS11520
K562_RS11525,K562_RS11525
K562_RS11530,K562_RS11530
K562_RS11535,K562_RS11535
K562_RS11540,K562_RS11540
K562_RS11545,K562_RS11545
K562_RS11550,K562_RS11550
K562_RS11555,K562_RS11555
K562_RS11560,K562_RS11560
K562_RS11565,K562_RS11565
K562_RS11570,K562_RS11570
K562_RS11575,K562_RS11575
K562_RS11580,K562_RS11580
K562_RS11585,K562_RS11585
K562_RS11590,K562_RS11590
K562_RS11595,K562_RS11595
K562_RS11600,K562_RS11600
K562_RS11605,K562_RS11605
K562_RS11610,K562_RS11610
K562_RS11615,K562_RS11615
K562_RS11620,K562_RS11620
K562_RS11625,K562_RS11625
K562_RS11630,K562_RS11630
K562_RS11635,K562_RS11635
K562_RS11640,K562_RS11640
K562_RS11645,K562_RS11645
K562_RS11650,K562_RS11650
K562_RS11655,K562_RS11655
K562_RS11660,K562_RS11660
K562_RS11665,K562_RS11665
K562_RS11670,K562_RS11670
K562_RS11675,K562_RS11675
K562_RS11680,K562_RS11680
K562_RS11685,K562_RS11685
K562_RS11690,K562_RS11690
K562_RS11695,K562_RS11695
K562_RS11700,K562_RS11700
K562_RS11705,K562_RS11705
K562_RS11710,K562_RS11710
K562_RS11715,K562_RS11715
K562_RS11720,K562_RS11720
K562_RS11725,K562_RS11725
K562_RS11730,K562_RS11730
K562_RS11735,K562_RS11735
K562_RS11740,K562_RS11740
K562_RS11745,K562_RS11745
K562_RS11750,K562_RS11750
K562_RS11755,K562_RS11755
K562_RS11760,K562_RS11760
K562_RS11765,K562_RS11765
K562_RS11770,K562_RS11770
K562_RS11775,K562_RS11775
K562_RS11780,K562_RS11780
K562_RS11785,K562_RS11785
K562_RS11790,K562_RS11790
K562_RS11795,K562_RS11795
K562_RS11800,K562_RS11800
K562_RS11805,K562_RS11805
K562_RS11810,K562_RS11810
K562_RS11815,K562_RS11815
K562_RS11820,K562_RS11820
K562_RS11825,K562_RS11825
K562_RS11830,K562_RS11830
K562_RS11835,K562_RS11835
K562_RS11840,K562_RS11840
K562_RS11845,K562_RS11845
K562_RS11850,K562_RS11850
K562_RS11855,K562_RS11855
K562_RS11860,K562_RS11860
K562_RS11865,K562_RS11865
K562_RS11870,K562_RS11870
K562_RS11875,K562_RS11875
K562_RS11880,K562_RS11880
K562_RS11885,K562_RS11885
K562_RS11890,K562_RS11890
K562_RS11895,K562_RS11895
K562_RS11900,K562_RS11900
K562_RS11905,K562_RS11905
K562_RS11910,K562_RS11910
K562_RS11915,K562_RS11915
K562_RS11920,K562_RS11920
K562_RS11925,K562_RS11925
K562_RS35425,K562_RS35425
K562_RS11935,K562_RS11935
K562_RS11940,K562_RS11940
K562_RS11945,K562_RS11945
K562_RS11950,K562_RS11950
K562_RS11955,K562_RS11955
K562_RS11960,K562_RS11960
K562_RS11965,K562_RS11965
K562_RS11970,K562_RS11970
K562_RS11975,K562_RS11975
K562_RS11980,K562_RS11980
K562_RS11985,K562_RS11985
K562_RS11990,K562_RS11990
K562_RS11995,K562_RS11995
K562_RS12000,K562_RS12000
K562_RS12005,K562_RS12005
K562_RS12010,K562_RS12010
K562_RS12015,K562_RS12015
K562_RS12020,K562_RS12020
K562_RS12025,K562_RS12025
K562_RS12030,K562_RS12030
K562_RS12035,K562_RS12035
K562_RS12040,K562_RS12040
K562_RS12045,K562_RS12045
K562_RS12050,K562_RS12050
K562_RS12055,K562_RS12055
K562_RS12060,K562_RS12060
K562_RS12065,K562_RS12065
K562_RS12070,K562_RS12070
K562_RS12075,K562_RS12075
K562_RS12080,K562_RS12080
K562_RS12085,K562_RS12085
K562_RS12090,K562_RS12090
K562_RS12095,K562_RS12095
K562_RS12100,K562_RS12100
K562_RS12105,K562_RS12105
K562_RS12110,K562_RS12110
K562_RS12115,K562_RS12115
K562_RS12120,K562_RS12120
K562_RS12125,K562_RS12125
K562_RS12130,K562_RS12130
K562_RS12135,K562_RS12135
K562_RS12140,K562_RS12140
K562_RS12145,K562_RS12145
K562_RS12150,K562_RS12150
K562_RS12155,K562_RS12155
K562_RS12160,K562_RS12160
K562_RS12165,K562_RS12165
K562_RS12170,K562_RS12170
K562_RS12175,K562_RS12175
K562_RS35430,K562_RS35430
K562_RS12180,K562_RS12180
K562_RS12185,K562_RS12185
K562_RS12190,K562_RS12190
K562_RS12195,K562_RS12195
K562_RS12200,K562_RS12200
K562_RS12205,K562_RS12205
K562_RS12210,K562_RS12210
K562_RS12215,K562_RS12215
K562_RS12220,K562_RS12220
K562_RS35435,K562_RS35435
K562_RS12230,K562_RS12230
K562_RS12235,K562_RS12235
K562_RS35440,K562_RS35440
K562_RS12245,K562_RS12245
K562_RS12250,K562_RS12250
K562_RS12255,K562_RS12255
K562_RS12260,K562_RS12260
K562_RS12270,K562_RS12270
K562_RS12275,K562_RS12275
K562_RS12280,K562_RS12280
K562_RS12285,K562_RS12285
K562_RS12290,K562_RS12290
K562_RS12295,K562_RS12295
K562_RS12300,K562_RS12300
K562_RS12305,K562_RS12305
K562_RS12310,K562_RS12310
K562_RS12315,K562_RS12315
K562_RS12325,K562_RS12325
K562_RS12330,K562_RS12330
K562_RS12335,K562_RS12335
K562_RS12340,K562_RS12340
K562_RS12345,K562_RS12345
K562_RS12350,K562_RS12350
K562_RS12355,K562_RS12355
K562_RS12360,K562_RS12360
K562_RS12365,K562_RS12365
K562_RS12370,K562_RS12370
K562_RS12375,K562_RS12375
K562_RS12380,K562_RS12380
K562_RS12385,K562_RS12385
K562_RS12390,K562_RS12390
K562_RS12395,K562_RS12395
K562_RS12400,K562_RS12400
K562_RS12405,K562_RS12405
K562_RS12410,K562_RS12410
K562_RS12415,K562_RS12415
K562_RS12420,K562_RS12420
K562_RS12425,K562_RS12425
K562_RS12430,K562_RS12430
K562_RS12435,K562_RS12435
K562_RS12440,K562_RS12440
K562_RS12445,K562_RS12445
K562_RS12450,K562_RS12450
K562_RS12455,K562_RS12455
K562_RS12460,K562_RS12460
K562_RS12465,K562_RS12465
K562_RS12470,K562_RS12470
K562_RS12475,K562_RS12475
K562_RS12480,K562_RS12480
K562_RS12485,K562_RS12485
K562_RS12490,K562_RS12490
K562_RS12495,K562_RS12495
K562_RS12500,K562_RS12500
K562_RS12505,K562_RS12505
K562_RS12510,K562_RS12510
K562_RS12515,K562_RS12515
K562_RS12520,K562_RS12520
K562_RS12525,K562_RS12525
K562_RS12530,K562_RS12530
K562_RS12535,K562_RS12535
K562_RS12540,K562_RS12540
K562_RS12545,K562_RS12545
K562_RS12550,K562_RS12550
K562_RS12555,K562_RS12555
K562_RS12560,K562_RS12560
K562_RS12565,K562_RS12565
K562_RS12570,K562_RS12570
K562_RS12575,K562_RS12575
K562_RS12580,K562_RS12580
K562_RS12585,K562_RS12585
K562_RS12590,K562_RS12590
K562_RS12595,K562_RS12595
K562_RS12600,K562_RS12600
K562_RS12605,K562_RS12605
K562_RS12610,K562_RS12610
K562_RS12615,K562_RS12615
K562_RS12620,K562_RS12620
K562_RS12625,K562_RS12625
K562_RS12630,K562_RS12630
K562_RS12635,K562_RS12635
K562_RS12640,K562_RS12640
K562_RS12645,K562_RS12645
K562_RS12650,K562_RS12650
K562_RS12655,K562_RS12655
K562_RS12660,K562_RS12660
K562_RS12665,K562_RS12665
K562_RS12670,K562_RS12670
K562_RS12675,K562_RS12675
K562_RS12680,K562_RS12680
K562_RS12685,K562_RS12685
K562_RS12690,K562_RS12690
K562_RS12695,K562_RS12695
K562_RS35340,K562_RS35340
K562_RS35445,K562_RS35445
K562_RS35450,K562_RS35450
K562_RS12710,K562_RS12710
K562_RS12715,K562_RS12715
K562_RS12720,K562_RS12720
K562_RS12725,K562_RS12725
K562_RS12730,K562_RS12730
K562_RS12735,K562_RS12735
K562_RS12740,K562_RS12740
K562_RS12745,K562_RS12745
K562_RS12750,K562_RS12750
K562_RS12755,K562_RS12755
K562_RS12760,K562_RS12760
K562_RS12765,K562_RS12765
K562_RS12770,K562_RS12770
K562_RS12775,K562_RS12775
K562_RS12780,K562_RS12780
K562_RS12785,K562_RS12785
K562_RS12790,K562_RS12790
K562_RS12795,K562_RS12795
K562_RS12800,K562_RS12800
K562_RS12805,K562_RS12805
K562_RS12810,K562_RS12810
K562_RS12815,K562_RS12815
K562_RS12820,K562_RS12820
K562_RS12825,K562_RS12825
K562_RS12830,K562_RS12830
K562_RS12835,K562_RS12835
K562_RS12840,K562_RS12840
K562_RS12845,K562_RS12845
K562_RS12850,K562_RS12850
K562_RS35795,K562_RS35795
K562_RS12860,K562_RS12860
K562_RS12865,K562_RS12865
K562_RS12870,K562_RS12870
K562_RS12875,K562_RS12875
K562_RS12880,K562_RS12880
K562_RS12885,K562_RS12885
K562_RS12890,K562_RS12890
K562_RS12895,K562_RS12895
K562_RS12900,K562_RS12900
K562_RS12905,K562_RS12905
K562_RS12910,K562_RS12910
K562_RS12915,K562_RS12915
K562_RS12920,K562_RS12920
K562_RS12925,K562_RS12925
K562_RS12930,K562_RS12930
K562_RS12935,K562_RS12935
K562_RS12940,K562_RS12940
K562_RS12945,K562_RS12945
K562_RS12950,K562_RS12950
K562_RS12955,K562_RS12955
K562_RS12960,K562_RS12960
K562_RS12965,K562_RS12965
K562_RS12970,K562_RS12970
K562_RS12975,K562_RS12975
K562_RS12980,K562_RS12980
K562_RS12985,K562_RS12985
K562_RS12990,K562_RS12990
K562_RS12995,K562_RS12995
K562_RS35460,K562_RS35460
K562_RS13000,K562_RS13000
K562_RS13005,K562_RS13005
K562_RS13010,K562_RS13010
K562_RS13015,K562_RS13015
K562_RS13020,K562_RS13020
K562_RS13025,K562_RS13025
K562_RS13030,K562_RS13030
K562_RS13035,K562_RS13035
K562_RS13040,K562_RS13040
K562_RS13045,K562_RS13045
K562_RS13050,K562_RS13050
K562_RS35465,K562_RS35465
K562_RS13055,K562_RS13055
K562_RS13060,K562_RS13060
K562_RS13065,K562_RS13065
K562_RS13070,K562_RS13070
K562_RS13075,K562_RS13075
K562_RS13080,K562_RS13080
K562_RS13085,K562_RS13085
K562_RS13090,K562_RS13090
K562_RS13095,K562_RS13095
K562_RS13100,K562_RS13100
K562_RS13105,K562_RS13105
K562_RS13110,K562_RS13110
K562_RS13115,K562_RS13115
K562_RS13120,K562_RS13120
K562_RS13125,K562_RS13125
K562_RS13130,K562_RS13130
K562_RS13135,K562_RS13135
K562_RS13140,K562_RS13140
K562_RS13145,K562_RS13145
K562_RS13150,K562_RS13150
K562_RS13155,K562_RS13155
K562_RS13160,K562_RS13160
K562_RS13165,K562_RS13165
K562_RS13170,K562_RS13170
K562_RS13175,K562_RS13175
K562_RS13180,K562_RS13180
K562_RS13185,K562_RS13185
K562_RS13190,K562_RS13190
K562_RS13195,K562_RS13195
K562_RS13200,K562_RS13200
K562_RS13205,K562_RS13205
K562_RS13210,K562_RS13210
K562_RS13215,K562_RS13215
K562_RS13220,K562_RS13220
K562_RS13225,K562_RS13225
K562_RS13230,K562_RS13230
K562_RS13235,K562_RS13235
K562_RS13240,K562_RS13240
K562_RS13245,K562_RS13245
K562_RS13250,K562_RS13250
K562_RS13255,K562_RS13255
K562_RS13260,K562_RS13260
K562_RS13265,K562_RS13265
K562_RS13270,K562_RS13270
K562_RS13275,K562_RS13275
K562_RS13280,K562_RS13280
K562_RS13285,K562_RS13285
K562_RS13290,K562_RS13290
K562_RS13295,K562_RS13295
K562_RS13300,K562_RS13300
K562_RS13305,K562_RS13305
K562_RS13310,K562_RS13310
K562_RS13315,K562_RS13315
K562_RS13320,K562_RS13320
K562_RS13325,K562_RS13325
K562_RS13330,K562_RS13330
K562_RS13335,K562_RS13335
K562_RS13340,K562_RS13340
