GENEID,TXNAME
K562_RS01005,K562_RS01005
K562_RS01010,K562_RS01010
K562_RS01015,K562_RS01015
K562_RS01020,K562_RS01020
K562_RS01025,K562_RS01025
K562_RS01030,K562_RS01030
K562_RS01035,K562_RS01035
K562_RS01040,K562_RS01040
K562_RS01045,K562_RS01045
K562_RS01050,K562_RS01050
K562_RS01055,K562_RS01055
K562_RS01060,K562_RS01060
K562_RS01065,K562_RS01065
K562_RS01070,K562_RS01070
K562_RS01075,K562_RS01075
K562_RS01080,K562_RS01080
K562_RS01085,K562_RS01085
K562_RS01090,K562_RS01090
K562_RS01095,K562_RS01095
K562_RS01100,K562_RS01100
K562_RS01105,K562_RS01105
K562_RS01110,K562_RS01110
K562_RS01115,K562_RS01115
K562_RS01120,K562_RS01120
K562_RS01150,K562_RS01150
K562_RS01170,K562_RS01170
K562_RS01180,K562_RS01180
K562_RS01185,K562_RS01185
K562_RS01190,K562_RS01190
K562_RS01195,K562_RS01195
K562_RS01200,K562_RS01200
K562_RS01205,K562_RS01205
K562_RS01210,K562_RS01210
K562_RS01215,K562_RS01215
K562_RS01220,K562_RS01220
K562_RS01225,K562_RS01225
K562_RS01230,K562_RS01230
K562_RS01235,K562_RS01235
K562_RS01240,K562_RS01240
K562_RS01245,K562_RS01245
K562_RS01250,K562_RS01250
K562_RS01255,K562_RS01255
K562_RS01260,K562_RS01260
K562_RS01265,K562_RS01265
K562_RS01270,K562_RS01270
K562_RS01275,K562_RS01275
K562_RS01280,K562_RS01280
K562_RS01285,K562_RS01285
K562_RS01290,K562_RS01290
K562_RS01295,K562_RS01295
K562_RS01300,K562_RS01300
K562_RS01305,K562_RS01305
K562_RS01310,K562_RS01310
K562_RS01315,K562_RS01315
K562_RS01320,K562_RS01320
K562_RS01325,K562_RS01325
K562_RS01330,K562_RS01330
K562_RS01335,K562_RS01335
K562_RS01340,K562_RS01340
K562_RS01345,K562_RS01345
K562_RS01350,K562_RS01350
K562_RS01355,K562_RS01355
K562_RS01360,K562_RS01360
K562_RS01365,K562_RS01365
K562_RS01370,K562_RS01370
K562_RS01375,K562_RS01375
K562_RS01380,K562_RS01380
K562_RS01385,K562_RS01385
K562_RS01390,K562_RS01390
K562_RS01395,K562_RS01395
K562_RS01400,K562_RS01400
K562_RS01405,K562_RS01405
K562_RS01410,K562_RS01410
K562_RS01415,K562_RS01415
K562_RS01420,K562_RS01420
K562_RS01425,K562_RS01425
K562_RS01430,K562_RS01430
K562_RS01435,K562_RS01435
K562_RS01440,K562_RS01440
K562_RS01445,K562_RS01445
K562_RS01450,K562_RS01450
K562_RS01455,K562_RS01455
K562_RS01460,K562_RS01460
K562_RS01465,K562_RS01465
K562_RS01470,K562_RS01470
K562_RS01475,K562_RS01475
K562_RS01480,K562_RS01480
K562_RS01485,K562_RS01485
K562_RS01490,K562_RS01490
K562_RS01495,K562_RS01495
K562_RS01500,K562_RS01500
K562_RS01505,K562_RS01505
K562_RS01510,K562_RS01510
K562_RS01515,K562_RS01515
K562_RS01520,K562_RS01520
K562_RS01525,K562_RS01525
K562_RS01530,K562_RS01530
K562_RS01535,K562_RS01535
K562_RS01540,K562_RS01540
K562_RS01545,K562_RS01545
K562_RS01550,K562_RS01550
K562_RS01555,K562_RS01555
K562_RS01560,K562_RS01560
K562_RS01565,K562_RS01565
K562_RS01570,K562_RS01570
K562_RS01575,K562_RS01575
K562_RS01580,K562_RS01580
K562_RS01585,K562_RS01585
K562_RS01590,K562_RS01590
K562_RS01595,K562_RS01595
K562_RS01600,K562_RS01600
K562_RS01605,K562_RS01605
K562_RS01610,K562_RS01610
K562_RS01615,K562_RS01615
K562_RS01620,K562_RS01620
K562_RS01625,K562_RS01625
K562_RS01630,K562_RS01630
K562_RS01635,K562_RS01635
K562_RS01640,K562_RS01640
K562_RS01645,K562_RS01645
K562_RS01650,K562_RS01650
K562_RS01655,K562_RS01655
K562_RS01660,K562_RS01660
K562_RS01665,K562_RS01665
K562_RS01670,K562_RS01670
K562_RS01675,K562_RS01675
K562_RS01680,K562_RS01680
K562_RS01685,K562_RS01685
K562_RS01690,K562_RS01690
K562_RS01695,K562_RS01695
K562_RS01700,K562_RS01700
K562_RS01705,K562_RS01705
K562_RS01710,K562_RS01710
K562_RS01715,K562_RS01715
K562_RS01720,K562_RS01720
K562_RS01725,K562_RS01725
K562_RS01730,K562_RS01730
K562_RS01735,K562_RS01735
K562_RS01745,K562_RS01745
K562_RS01750,K562_RS01750
K562_RS01755,K562_RS01755
K562_RS01760,K562_RS01760
